taxon	stderr	estimate
CAG-269 sp900552555	0.0844719043714218	-0.183894507236479
CAG-269 sp900553125	0.141991578867192	-0.299448218861602
CAG-269 sp900553985	0.0470713284099427	-0.0605200021727597
CAG-269 sp900554175	0.125985477709467	-0.0956619695626927
CAG-269 sp900554365	0.301025476212852	0.166298960826656
CAG-269 sp900554565	0.123129377045997	-0.105416232506094
CAG-269 sp900555615	0.148429663676471	-0.152209197497967
CAG-269 sp900556345	0.1085693756361	-0.16446408363231
CAG-269 sp900556695	0.267933217928233	-0.342520567441664
CAG-269 sp900556865	0.2641608528867	0.397096560457437
CAG-269 sp900556945	0.29345269598801	0.342977437781321
CAG-269 sp900753165	0.13561299098131	-0.0625207167816958
CAG-269 sp900754285	0.0683721572774615	-0.252991401940905
CAG-269 sp900760175	0.132706107809182	-0.175565385553654
CAG-269 sp900762425	0.0475620288936242	0.0297378494286822
CAG-272 sp000433515	0.0966403837055226	0.0558309538133273
CAG-272 sp900556615	0.120280429049054	-0.14373060010751
CAG-273 sp000435755	0.0830670648492214	-0.0276750668351147
CAG-273 sp000437855	0.49507338337042	0.571278480779414
CAG-273 sp000438355	0.443701290309163	0.47101663893339
CAG-273 sp003507395	0.2903440404702	0.19830094454379
CAG-273 sp003534295	0.437703672092057	0.401208551527929
CAG-273 sp900752095	0.214302043063264	0.169266957474506
CAG-273 sp900752335	0.169076120673622	0.0743806566325222
CAG-273 sp902406115	0.228339758809936	0.104794732930579
CAG-274 sp000432155	0.230010476987008	-0.0089786020773867
CAG-274 sp900545305	0.203712592036428	0.0167431901277354
CAG-279 sp000437795	0.152273865158682	0.00194369434049909
CAG-279 sp900541555	0.299028790519258	0.243922748682158
CAG-279 sp900541935	0.154468586988248	0.0167895472762399
CAG-279 sp900544305	0.0560765057843887	0.0410801021603494
CAG-279 sp900548875	0.0469788809066268	-0.0331659875102938
CAG-279 sp900550025	0.367466190226906	-0.119285040714955
CAG-279 sp900556245	0.0663250099617558	0.0697439614157068
CAG-288 sp000437395	0.11971046797505	-0.11763986610099
CAG-302 sp000431795	0.344036979792062	-0.343931700667137
CAG-302 sp001916775	0.163041180002958	-0.359394079379363
CAG-302 sp900543825	0.3417384491997	0.435551004792454
